opus_id,title,type,year,recording_exists,length,youtube_link,num_instruments,instruments,section_names,referenced_work
88,String Quartet,Chamber,1998,TRUE,0:22:32,https://youtu.be/RU1TKzWbTdk,4,"Violin, Viola, Cello","I. Allegro, II. Larghetto, III. Allegretto, IV. Fuga: Animato",
89,Piano Quintet,Chamber,1998,TRUE,0:20:43,https://youtu.be/W4kwb2kWZow,5,"Violin, Viola, Cello, Piano","I. Allegro, II. Presto, III. Lento, IV. Allegro non troppo",
91,"Divertissement for two flutes, cello and piano",Chamber,1998,TRUE,0:17:10,https://youtu.be/r_WNKjcjXn8,4,"Flute, Cello, Piano","I. Preludio: Andantino, II. Fuga: Allegro moderato, III. Finale: Allegro",
92,Suite for piano,Piano Miniature Set,1999,TRUE,0:11:30,https://youtu.be/4gA-KVPzUco,1,Piano,"I. Allegretto con delicatezza, II. Moderato, III. Allegro vivace, IV. Presto",
93,Introduction and Scherzino for cello solo,Chamber,1999,TRUE,0:08:32,https://youtu.be/FRf4dBMuxaw,1,Cello,"I. Introduction, II. Scherzino",
94,Ballad for piano,Short Piano Piece,1999,TRUE,0:04:55,https://youtu.be/Chtm5z-5XqI,1,Piano,,
95,Scherzo for piano,Short Piano Piece,1999,TRUE,0:04:19,https://youtu.be/GL3Wntuqeiw,1,Piano,,
96,Elegy for cello and piano,Chamber,1999,TRUE,0:04:45,https://youtu.be/QURbeJIVxU8,2,"Cello, Piano",,
97,Burlesque for cello and piano,Chamber,1999,TRUE,0:03:16,https://youtu.be/k0RvexycBJA,2,"Cello, Piano",,
98,Nearly Waltz for cello and piano,Chamber,1999,TRUE,0:02:37,https://youtu.be/ZdxxDHj3Bbk,2,"Cello, Piano",,
99,Duet for alto saxophone and cello,Chamber,1999,TRUE,0:11:55,https://youtu.be/HRnbjyNBNO4,2,"Alto Sax, Cello","I. Allegretto, II. Grave, III. Sonatina: Animato",
100,Sonatina for piano,Short Piano Piece,2000,TRUE,0:03:47,https://youtu.be/M9Zu2fJxzyg,1,Piano,,
101,"Piano Sonata No. 11 ""Twickenham""",Piano Sonata,2000,TRUE,0:17:47,https://youtu.be/Tx4hiQ1KEd4,1,Piano,"I. Allegretto, II. Larghetto, III. Agitato",
102,Piano Sonata No. 12,Piano Sonata,2001,TRUE,0:12:20,https://youtu.be/gBvJIr3jmpE,1,Piano,"I. Allegretto, II. Allegro assai",
103,Concerto No. 2 for cello and string orchestra,Concerto,2002,TRUE,0:22:27,https://youtu.be/dN5vV8itGYI,-1,Cello,"I. Allegretto, II. Lento, III. Allegro",
104,Concerto for two pianos and percussion,Chamber,2002,TRUE,0:19:13,https://youtu.be/P1HGleE2suE,4,"Piano, Drumset, Percussion","I. Allegro moderato, II. Largo, III. Allegro impetuoso",
105,"Concerto for violin, piano and string orchestra",Concerto,2002,TRUE,0:21:31,https://youtu.be/-zXG50rBS2I,-1,"Violin, Piano","I. Allegro non troppo, II. Largo, III. Allegretto",
107,"Variations on ""Sweet Georgia Brown"" for viola, alto saxophone, piano and bass",Chamber,2002,TRUE,0:03:40,https://youtu.be/P7ad6DHIqhU,4,"Viola, Alto Sax, Piano, Bass",,
108,Paraphrase on the theme of Paul Dvoirin for piano,Short Piano Piece,2003,TRUE,0:03:24,https://youtu.be/165B1Oe3gYY,1,Piano,,Theme by Paul Dvoyrin
109,"""There is Something Behind That"" for piano",Short Piano Piece,2003,TRUE,0:03:49,https://youtu.be/tb1XQT_-lKI,1,Piano,,
